sensor,position,chamber,early_peak_dP_mbar,early_peak_day,early_peak_hour,full_record_peak_dP_mbar,full_record_peak_day,full_record_peak_hour,post_handling_peak_dP_mbar,post_handling_peak_day,post_handling_peak_hour,full_peak_equals_primary,early_min_temperature_degC,early_max_temperature_degC
V50,Top,50,6.685937530540059,0.2083333333,4.9999999992,63.46379195943007,4.208333333,100.999999992,63.46379195943007,4.208333333,100.999999992,True,24.0,29.3
V53,Top,50,10.940041096390019,0.04166666667,1.00000000008,58.33348357303987,4.041666667,97.000000008,58.33348357303987,4.041666667,97.000000008,True,20.1,29.7
V71,Top,50,9.198491618239927,0.0625,1.5,77.90509528170003,4.041666667,97.000000008,77.90509528170003,4.041666667,97.000000008,True,20.1,33.7
V51,Bottom,19,9.661956804950023,0.2083333333,4.9999999992,91.07280818232994,3.583333333,85.999999992,91.07280818232994,3.583333333,85.999999992,True,17.5,25.2
V59,Bottom,19,30.59760284750007,0.2083333333,4.9999999992,78.57833009365993,3.583333333,85.999999992,78.57833009365993,3.583333333,85.999999992,True,12.6,29.1
V52,Bottom,50,29.26365009453002,0.2083333333,4.9999999992,92.16972527410985,5.75,138.0,92.16972527410985,5.75,138.0,True,12.3,24.3
V56,Bottom,50,52.8332289750299,0.04166666667,1.00000000008,63.18907858595003,4.0,96.0,63.18907858595003,4.0,96.0,True,12.8,26.0
V70,Bottom,50,45.58197272955988,0.2083333333,4.9999999992,93.76393719814007,5.770833333,138.499999992,93.76393719814007,5.770833333,138.499999992,True,12.7,36.3
V55,Top,19,54.169470315269905,0.04166666667,1.00000000008,56.43388492669999,3.541666667,85.000000008,56.43388492669999,3.541666667,85.000000008,True,12.6,26.5
V57,Top,19,56.60556511872994,0.04166666667,1.00000000008,56.91133701876004,3.666666667,88.000000008,56.91133701876004,3.666666667,88.000000008,True,12.7,25.2
V58,Top,19,65.23715637969008,0.04166666667,1.00000000008,65.49620208600004,3.541666667,85.000000008,65.49620208600004,3.541666667,85.000000008,True,12.8,24.9
