sensor,position,nominal_chamber_degC,temperature_column_zero_based,pressure_column_zero_based,stack_id,stack_height_cm,source_file,source_sheet
V50,Top,50,2,3,not available,not available,Results.xlsx,Compare
V53,Top,50,4,5,not available,not available,Results.xlsx,Compare
V71,Top,50,6,7,not available,not available,Results.xlsx,Compare
V51,Bottom,19,8,9,not available,not available,Results.xlsx,Compare
V59,Bottom,19,10,11,not available,not available,Results.xlsx,Compare
V52,Bottom,50,12,13,not available,not available,Results.xlsx,Compare
V56,Bottom,50,14,15,not available,not available,Results.xlsx,Compare
V70,Bottom,50,16,17,not available,not available,Results.xlsx,Compare
V55,Top,19,18,19,not available,not available,Results.xlsx,Compare
V57,Top,19,20,21,not available,not available,Results.xlsx,Compare
V58,Top,19,22,23,not available,not available,Results.xlsx,Compare
