sensor,position,chamber,peak_dP_mbar,peak_day,residual_at_original_peak_mbar,peak_common_residual_mbar,peak_common_residual_day,day20_dP_mbar,day20_common_residual_mbar
V50,Top,50,63.46379195943007,4.208333333,-6.8920722390971605,1.3912240526292408,0.375,33.51270241538007,-10.386881014844503
V53,Top,50,58.33348357303987,4.041666667,-13.415442804545592,-5.288805553710056,13.66666667,32.51255360415757,-11.387029826066998
V71,Top,50,77.90509528170003,4.041666667,6.1561689041145655,22.636618619500908,13.70833333,60.25130072293316,16.351717292708585
V51,Bottom,19,91.07280818232994,3.583333333,19.413411009769035,23.82119656517721,0.2708333333,62.58497529899601,18.685391868771436
V59,Bottom,19,78.57833009365993,3.583333333,6.918932921099028,12.203685122192702,18.25,52.32431427250156,8.424730842276995
V52,Bottom,50,92.16972527410985,5.75,26.585801521152618,27.001149552448986,6.5,55.95520042272756,12.055616992502989
V56,Bottom,50,63.18907858595003,4.0,-8.346958550128122,-5.250521417979115,0.2291666667,17.004473698455985,-26.89510973176859
V70,Bottom,50,93.76393719814007,5.770833333,28.192057714533718,28.192057714533718,5.770833333,43.73974677113594,-0.15983665908862235
V55,Top,19,56.43388492669999,3.541666667,-14.991889341810918,-6.788827628258083,17.04166667,36.130631730223996,-7.76895170000057
V57,Top,19,56.91133701876004,3.666666667,-14.884210889956321,-5.149760914757238,16.52083333,38.17255397247482,-5.727029457749748
V58,Top,19,65.49620208600004,3.541666667,-5.929572182510867,7.839774708847379,15.77083333,50.706964823483595,6.807381393259026
