experiment,sensor,position,nominal_chamber_degC,initial_temperature_degC,temperature_5h_degC,temperature_16h_degC,post_handling_max_temperature_degC,post_handling_max_day,late_mean_temperature_degC
main,V50,Top,50,26.1,24.0,18.5,34.7,15.5,34.132000000000005
main,V53,Top,50,24.9,20.1,19.9,35.3,16.375,34.564
main,V71,Top,50,33.5,20.1,20.8,34.5,16.70833333,33.844
main,V51,Bottom,19,25.1,17.5,17.7,23.5,16.22916667,22.624000000000002
main,V59,Bottom,19,25.6,12.6,18.0,23.8,16.02083333,23.048000000000002
main,V52,Bottom,50,24.0,12.3,15.9,26.5,16.35416667,26.103999999999996
main,V56,Bottom,50,26.0,13.3,17.2,26.5,16.3125,25.844000000000005
main,V70,Bottom,50,36.3,12.7,15.9,26.7,15.9375,26.296000000000003
main,V55,Top,19,26.5,13.0,18.7,25.0,15.47916667,23.612000000000002
main,V57,Top,19,25.2,12.8,17.3,24.9,15.97916667,23.632
main,V58,Top,19,24.1,13.1,18.7,24.6,15.4375,23.264
